index,x_mm,y_mm
0,22.44545041,1.56580835
1,22.48497236,1.56466171
2,22.52419775,1.56355286
3,22.56312601,1.56248137
4,22.60175656,1.56144682
5,22.64008884,1.56044877
6,22.67812229,1.55948679
7,22.71585634,1.55856045
8,22.75329044,1.55766932
9,22.79042405,1.55681297
10,22.82725662,1.55599095
11,22.86378762,1.55520284
12,22.90001650,1.55444819
13,22.93594274,1.55372656
14,22.97156581,1.55303751
15,23.00688519,1.55238060
16,23.04190037,1.55175539
17,23.07661084,1.55116143
18,23.11101608,1.55059828
19,23.14511560,1.55006549
20,23.17890889,1.54956261
21,23.21239548,1.54908920
22,23.24557486,1.54864480
23,23.27844656,1.54822896
24,23.31101010,1.54784123
25,23.34326500,1.54748115
26,23.37521080,1.54714828
27,23.40684703,1.54684216
28,23.43817323,1.54656232
29,23.46918895,1.54630832
30,23.49989375,1.54607969
31,23.53028716,1.54587598
32,23.56036877,1.54569672
33,23.59013812,1.54554145
34,23.61959479,1.54540971
35,23.64873836,1.54530104
36,23.67756840,1.54521496
37,23.70608450,1.54515103
38,23.73428625,1.54510876
39,23.76217324,1.54508770
40,23.78974507,1.54508737
41,23.81700134,1.54510731
42,23.84394167,1.54514705
43,23.87056566,1.54520611
44,23.89687294,1.54528402
45,23.92286313,1.54538032
46,23.94853585,1.54549452
47,23.97389075,1.54562617
48,23.99892745,1.54577477
49,24.02364560,1.54593986
50,24.04804486,1.54612095
51,24.07212486,1.54631758
52,24.09588528,1.54652927
53,24.11932576,1.54675553
54,24.14244599,1.54699589
55,24.16524564,1.54724987
56,24.18772437,1.54751698
57,24.20988188,1.54779676
58,24.23171785,1.54808870
59,24.25323197,1.54839235
60,24.27442394,1.54870720
61,24.29529347,1.54903278
62,24.31584026,1.54936860
63,24.33606403,1.54971418
64,24.35596448,1.55006904
65,24.37554136,1.55043268
66,24.39479437,1.55080463
67,24.41372326,1.55118439
68,24.43232776,1.55157148
69,24.45060762,1.55196540
70,24.46856258,1.55236569
71,24.48619239,1.55277183
72,24.50349682,1.55318335
73,24.52047563,1.55359976
74,24.53712858,1.55402056
75,24.55345545,1.55444527
76,24.56945601,1.55487339
77,24.58513005,1.55530443
78,24.60047736,1.55573791
79,24.61549773,1.55617333
80,24.63019096,1.55661020
81,24.64455684,1.55704802
82,24.65859520,1.55748631
83,24.67230584,1.55792456
84,24.68568858,1.55836230
85,24.69874325,1.55879902
86,24.71146967,1.55923423
87,24.72386768,1.55966744
88,24.73593712,1.56009814
89,24.74767782,1.56052586
90,24.75908965,1.56095009
91,24.77017245,1.56137034
92,24.78092608,1.56178611
93,24.79135042,1.56219691
94,24.80144532,1.56260225
95,24.81121066,1.56300162
96,24.82064632,1.56339454
97,24.82975219,1.56378050
98,24.83852815,1.56415902
99,24.84697411,1.56452959
100,24.85508996,1.56489172
101,24.86287560,1.56524492
102,24.87033096,1.56558868
103,24.87745593,1.56592252
104,24.88425045,1.56624594
105,24.89071444,1.56655844
106,24.89684782,1.56685953
107,24.90265055,1.56714871
108,24.90812255,1.56742548
109,24.91326377,1.56768935
110,24.91807417,1.56793983
111,24.92255370,1.56817642
112,24.92670232,1.56839862
113,24.93052000,1.56860594
114,24.93400671,1.56879789
115,24.93716243,1.56897397
116,24.93998714,1.56913368
117,24.94248083,1.56927653
118,24.94464349,1.56940203
119,24.94647511,1.56950968
120,24.94797571,1.56959899
121,24.94914528,1.56966947
122,24.94998385,1.56972062
123,24.95049142,1.56975196
124,24.95066802,1.56976298
125,24.95066865,1.56976302
126,24.95082253,1.56977313
127,24.95125299,1.56980300
128,24.95195986,1.56985484
129,24.95294296,1.56993086
130,24.95420211,1.57003327
131,24.95573710,1.57016428
132,24.95754770,1.57032611
133,24.95963368,1.57052097
134,24.96199479,1.57075105
135,24.96463077,1.57101857
136,24.96754134,1.57132573
137,24.97072619,1.57167474
138,24.97418503,1.57206778
139,24.97791753,1.57250707
140,24.98192336,1.57299479
141,24.98620215,1.57353314
142,24.99075354,1.57412431
143,24.99557716,1.57477049
144,25.00067260,1.57547387
145,25.00603946,1.57623662
146,25.01167731,1.57706093
147,25.01758571,1.57794899
148,25.02376420,1.57890295
149,25.03021233,1.57992500
150,25.03692960,1.58101731
151,25.04391552,1.58218204
152,25.05116958,1.58342135
153,25.05869126,1.58473740
154,25.06648000,1.58613236
155,25.07453526,1.58760837
156,25.08285648,1.58916758
157,25.09144306,1.59081213
158,25.10029441,1.59254418
159,25.10940991,1.59436585
160,25.11878896,1.59627929
161,25.12843089,1.59828661
162,25.13833507,1.60038995
163,25.14850082,1.60259142
164,25.15892745,1.60489315
165,25.16961429,1.60729725
166,25.18056060,1.60980582
167,25.19176568,1.61242097
168,25.20322878,1.61514480
169,25.21494915,1.61797939
170,25.22692603,1.62092685
171,25.23915863,1.62398926
172,25.25164616,1.62716869
173,25.26438782,1.63046721
174,25.27738279,1.63388691
175,25.29063022,1.63742983
176,25.30412927,1.64109805
177,25.31787908,1.64489361
178,25.33187877,1.64881856
179,25.34612746,1.65287494
180,25.36062424,1.65706478
181,25.37536819,1.66139013
182,25.39035838,1.66585300
183,25.40559387,1.67045540
184,25.42107371,1.67519936
185,25.43679692,1.68008688
186,25.45276252,1.68511996
187,25.46896951,1.69030059
188,25.48541689,1.69563076
189,25.50210362,1.70111245
190,25.51902868,1.70674763
191,25.53619100,1.71253827
192,25.55358954,1.71848634
193,25.57122321,1.72459378
194,25.58909093,1.73086254
195,25.60719159,1.73729457
196,25.62552408,1.74389179
197,25.64408727,1.75065614
198,25.66288001,1.75758952
199,25.68190117,1.76469385
200,25.70114956,1.77197104
201,25.72062402,1.77942299
202,25.74032335,1.78705157
203,25.76024634,1.79485867
204,25.78039178,1.80284617
205,25.80075845,1.81101592
206,25.82134509,1.81936980
207,25.84215045,1.82790964
208,25.86317328,1.83663729
209,25.88441228,1.84555459
210,25.90586618,1.85466336
211,25.92753366,1.86396541
212,25.94941341,1.87346255
213,25.97150410,1.88315659
214,25.99380440,1.89304932
215,26.01631295,1.90314252
216,26.03902838,1.91343796
217,26.06194934,1.92393742
218,26.08507442,1.93464264
219,26.10840222,1.94555539
220,26.13193134,1.95667738
221,26.15566036,1.96801037
222,26.17958784,1.97955606
223,26.20371234,1.99131617
224,26.22803239,2.00329240
225,26.25254653,2.01548646
226,26.27725329,2.02790001
227,26.30215116,2.04053473
228,26.32723866,2.05339230
229,26.35251425,2.06647436
230,26.37797643,2.07978256
231,26.40362365,2.09331854
232,26.42945436,2.10708393
233,26.45546702,2.12108033
234,26.48166004,2.13530937
235,26.50803186,2.14977262
236,26.53458088,2.16447168
237,26.56130550,2.17940813
238,26.58820410,2.19458353
239,26.61527508,2.20999944
240,26.64251678,2.22565740
241,26.66992758,2.24155894
242,26.69750582,2.25770560
243,26.72524983,2.27409888
244,26.75315795,2.29074029
245,26.78122847,2.30763132
246,26.80945972,2.32477345
247,26.83784999,2.34216816
248,26.86639756,2.35981689
249,26.89510071,2.37772111
250,26.90186249,2.29995537
251,26.90839941,2.22217040
252,26.91471142,2.14436686
253,26.92079847,2.06654540
254,26.92666050,1.98870666
255,26.93229748,1.91085131
256,26.93770934,1.83297998
257,26.94289605,1.75509333
258,26.94785756,1.67719200
259,26.95259383,1.59927667
260,26.95710482,1.52134796
261,26.96139050,1.44340654
262,26.96545082,1.36545305
263,26.96928576,1.28748815
264,26.97289528,1.20951249
